frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
101,2026-06-16T07:24:08.382,88.22,29.96,11.34,9,1,2,0,1,1,0,3,1
102,2026-06-16T07:24:08.421,53.96,25.3,18.53,9,1,1,1,1,1,0,3,1
103,2026-06-16T07:24:08.444,94.9,42.91,10.54,10,1,3,0,1,1,0,3,1
104,2026-06-16T07:24:08.478,82.66,29.75,12.1,10,1,3,0,1,1,0,3,1
105,2026-06-16T07:24:08.514,68.38,28.21,14.62,10,1,3,0,1,1,0,3,1
106,2026-06-16T07:24:08.541,93.95,37.0,10.64,9,1,2,0,1,1,0,3,1
107,2026-06-16T07:24:08.573,94.51,31.44,10.58,9,1,2,0,1,1,0,3,1
108,2026-06-16T07:24:08.606,87.25,29.94,11.46,8,1,1,0,1,1,0,3,1
109,2026-06-16T07:24:08.647,51.13,24.79,19.56,9,1,2,0,1,1,0,3,1
110,2026-06-16T07:24:08.669,95.07,44.81,10.52,10,1,3,0,1,1,0,3,1
111,2026-06-16T07:24:08.726,52.02,17.39,19.22,9,1,2,0,1,1,0,3,1
112,2026-06-16T07:24:08.749,92.42,43.86,10.82,9,1,2,0,1,1,0,3,1
113,2026-06-16T07:24:08.780,97.38,32.0,10.27,8,1,1,0,1,1,0,3,1
114,2026-06-16T07:24:08.814,85.46,29.24,11.7,11,1,3,1,1,1,0,3,1
115,2026-06-16T07:24:08.855,51.12,24.94,19.56,10,1,2,1,1,1,0,3,1
116,2026-06-16T07:24:08.877,93.55,44.82,10.69,9,1,2,0,1,1,0,3,1
117,2026-06-16T07:24:08.910,90.69,30.67,11.03,10,1,3,0,1,1,0,3,1
118,2026-06-16T07:24:08.942,85.39,30.77,11.71,10,1,3,0,1,1,0,3,1
119,2026-06-16T07:24:08.973,90.07,31.68,11.1,11,1,3,1,1,1,0,3,1
120,2026-06-16T07:24:09.005,91.92,31.46,10.88,10,1,3,0,1,1,0,3,1
121,2026-06-16T07:24:09.038,85.19,30.53,11.74,8,1,1,0,1,1,0,3,1
122,2026-06-16T07:24:09.069,95.58,32.74,10.46,9,1,1,1,1,1,0,3,1
123,2026-06-16T07:24:09.116,96.82,20.85,10.33,10,1,3,0,1,1,0,3,1
124,2026-06-16T07:24:09.149,95.35,31.01,10.49,11,1,3,1,1,1,0,3,1
125,2026-06-16T07:24:09.181,91.67,31.0,10.91,10,1,3,0,1,1,0,3,1
126,2026-06-16T07:24:09.213,93.61,31.38,10.68,9,1,1,1,1,1,0,3,1
127,2026-06-16T07:24:09.253,55.72,24.83,17.95,9,1,2,0,1,1,0,3,1
128,2026-06-16T07:24:09.277,87.25,40.82,11.46,9,1,2,0,1,1,0,3,1
129,2026-06-16T07:24:09.309,95.93,32.23,10.42,11,1,4,0,1,1,0,3,1
130,2026-06-16T07:24:09.342,94.95,30.32,10.53,10,1,3,0,1,1,0,3,1
131,2026-06-16T07:24:09.372,97.2,32.54,10.29,10,1,3,0,1,1,0,3,1
132,2026-06-16T07:24:09.405,94.5,30.96,10.58,8,1,1,0,1,1,0,3,1
133,2026-06-16T07:24:09.442,61.99,26.72,16.13,9,1,1,1,1,1,0,3,1
134,2026-06-16T07:24:09.470,89.24,36.07,11.21,10,1,3,0,1,1,0,3,1
135,2026-06-16T07:24:09.517,89.22,20.99,11.21,10,1,3,0,1,1,0,3,1
136,2026-06-16T07:24:09.555,62.34,26.82,16.04,8,1,1,0,1,1,0,3,1
137,2026-06-16T07:24:09.581,95.39,38.66,10.48,10,1,3,0,1,1,0,3,1
138,2026-06-16T07:24:09.613,96.54,31.19,10.36,12,1,4,1,1,1,0,3,1
139,2026-06-16T07:24:09.646,86.87,29.54,11.51,10,1,2,1,1,1,0,3,1
140,2026-06-16T07:24:09.677,94.64,33.04,10.57,10,1,3,0,1,1,0,3,1
141,2026-06-16T07:24:09.710,91.01,30.58,10.99,9,1,1,1,1,1,0,3,1
142,2026-06-16T07:24:09.742,86.22,30.97,11.6,9,1,2,0,1,1,0,3,1
143,2026-06-16T07:24:09.773,96.15,32.43,10.4,10,1,2,1,1,1,0,3,1
144,2026-06-16T07:24:09.804,96.0,31.43,10.42,10,1,3,0,1,1,0,3,1
145,2026-06-16T07:24:09.838,93.08,30.72,10.74,11,1,4,0,1,1,0,3,1
146,2026-06-16T07:24:09.869,96.54,31.75,10.36,9,1,1,1,1,1,0,3,1
147,2026-06-16T07:24:09.919,85.75,19.97,11.66,9,1,1,1,1,1,0,3,1
148,2026-06-16T07:24:09.949,94.0,33.19,10.64,9,1,2,0,1,1,0,3,1
149,2026-06-16T07:24:09.980,96.0,31.56,10.42,9,1,2,0,1,1,0,3,1
150,2026-06-16T07:24:10.013,95.51,31.1,10.47,9,1,1,1,1,1,0,3,1
151,2026-06-16T07:24:10.055,51.02,23.78,19.6,11,1,3,1,1,1,0,3,1
152,2026-06-16T07:24:10.083,63.93,36.04,15.64,9,1,2,0,1,1,0,3,1
153,2026-06-16T07:24:10.108,97.3,38.41,10.28,10,1,3,0,1,1,0,3,1
154,2026-06-16T07:24:10.142,88.57,29.88,11.29,10,1,3,0,1,1,0,3,1
155,2026-06-16T07:24:10.176,76.78,29.21,13.02,9,1,2,0,1,1,0,3,1
156,2026-06-16T07:24:10.205,89.55,34.15,11.17,9,1,1,1,1,1,0,3,1
157,2026-06-16T07:24:10.236,95.49,32.01,10.47,9,1,1,1,1,1,0,3,1
158,2026-06-16T07:24:10.270,91.82,30.64,10.89,11,1,3,1,1,1,0,3,1
159,2026-06-16T07:24:10.301,95.86,32.16,10.43,9,1,1,1,1,1,0,3,1
160,2026-06-16T07:24:10.350,89.65,20.33,11.15,8,1,1,0,1,1,0,3,1
161,2026-06-16T07:24:10.388,56.94,25.98,17.56,8,1,1,0,1,1,0,3,1
162,2026-06-16T07:24:10.413,96.65,41.14,10.35,9,1,2,0,1,1,0,3,1
163,2026-06-16T07:24:10.445,91.7,30.42,10.91,10,1,2,1,1,1,0,3,1
164,2026-06-16T07:24:10.479,82.18,30.15,12.17,8,1,1,0,1,1,0,3,1
165,2026-06-16T07:24:10.509,94.53,32.99,10.58,9,1,2,0,1,1,0,3,1
166,2026-06-16T07:24:10.542,92.45,30.81,10.82,11,1,4,0,1,1,0,3,1
167,2026-06-16T07:24:10.574,89.86,30.78,11.13,9,1,2,0,1,1,0,3,1
