frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
149,2026-06-17T12:35:17.996,6.62,4.13,151.05,7,1,1,1,1,0,0,2,1
150,2026-06-17T12:35:18.225,7.87,4.31,127.07,8,1,1,1,1,1,0,2,1
151,2026-06-17T12:35:18.503,5.25,3.53,190.6,8,1,1,1,1,1,0,2,1
152,2026-06-17T12:35:18.831,4.28,3.07,233.44,8,1,1,1,1,1,0,2,1
153,2026-06-17T12:35:19.116,5.32,3.54,187.82,4,1,1,1,1,0,0,0,0
154,2026-06-17T12:35:19.394,5.94,3.6,168.32,5,1,1,1,1,0,0,0,1
155,2026-06-17T12:35:19.653,5.87,3.79,170.35,5,1,1,1,1,0,0,1,0
156,2026-06-17T12:35:19.841,9.66,5.27,103.5,4,1,1,1,0,0,0,1,0
157,2026-06-17T12:35:20.034,8.31,5.21,120.33,6,1,1,1,1,0,0,1,1
158,2026-06-17T12:35:20.229,9.48,5.28,105.47,6,1,1,1,1,0,0,1,1
159,2026-06-17T12:35:20.423,9.04,5.01,110.6,5,1,1,1,1,0,0,1,0
160,2026-06-17T12:35:20.627,8.35,4.89,119.8,3,1,1,0,1,0,0,0,0
161,2026-06-17T12:35:20.912,5.08,3.54,196.88,5,2,1,1,1,0,0,0,0
162,2026-06-17T12:35:21.194,5.4,3.59,185.12,6,2,1,1,1,0,0,1,0
163,2026-06-17T12:35:21.463,5.6,3.66,178.51,6,1,1,1,1,0,0,1,1
164,2026-06-17T12:35:21.823,3.65,2.77,274.21,7,2,1,1,1,0,0,1,1
165,2026-06-17T12:35:22.117,4.81,3.47,207.84,7,1,2,1,1,0,0,1,1
166,2026-06-17T12:35:22.369,6.49,3.98,154.2,9,1,2,1,1,0,0,3,1
167,2026-06-17T12:35:22.639,5.97,3.64,167.51,7,1,1,1,1,0,0,2,1
168,2026-06-17T12:35:22.850,8.58,4.71,116.49,7,1,1,1,1,0,0,2,1
169,2026-06-17T12:35:23.033,8.96,5.46,111.57,7,1,1,1,1,0,0,2,1
170,2026-06-17T12:35:23.281,6.71,4.13,148.94,7,1,1,1,1,0,0,2,1
171,2026-06-17T12:35:23.591,4.44,3.17,225.23,7,1,1,1,1,0,0,2,1
172,2026-06-17T12:35:23.870,5.14,3.6,194.48,7,1,1,1,1,0,0,2,1
173,2026-06-17T12:35:24.097,6.95,4.37,143.94,7,1,1,1,1,0,0,2,1
174,2026-06-17T12:35:24.346,6.24,4.21,160.36,7,1,1,1,1,0,0,2,1
175,2026-06-17T12:35:24.621,5.52,3.54,181.19,8,2,1,1,1,0,0,2,1
176,2026-06-17T12:35:24.854,7.26,4.31,137.73,8,2,1,1,1,0,0,2,1
177,2026-06-17T12:35:25.131,5.43,3.65,184.12,8,2,1,1,1,0,0,2,1
178,2026-06-17T12:35:25.455,4.27,3.07,234.14,8,2,1,1,1,0,0,2,1
179,2026-06-17T12:35:25.720,5.85,3.7,171.0,8,2,1,1,1,0,0,2,1
180,2026-06-17T12:35:25.961,6.48,4.13,154.41,8,1,1,1,1,0,0,3,1
181,2026-06-17T12:35:26.139,9.67,5.61,103.39,8,2,1,1,1,0,0,2,1
182,2026-06-17T12:35:26.331,9.3,5.37,107.51,8,2,1,1,1,0,0,2,1
183,2026-06-17T12:35:26.523,8.68,5.06,115.22,8,1,1,1,1,0,0,3,1
184,2026-06-17T12:35:26.738,7.33,4.64,136.42,8,2,1,1,1,0,0,2,1
185,2026-06-17T12:35:26.945,7.83,4.85,127.64,8,2,1,1,1,0,0,2,1
186,2026-06-17T12:35:27.161,7.83,4.76,127.7,8,2,1,1,1,0,0,2,1
187,2026-06-17T12:35:27.403,6.34,4.07,157.79,7,1,1,1,1,0,0,2,1
188,2026-06-17T12:35:27.670,5.83,3.72,171.51,8,2,1,1,1,0,0,2,1
189,2026-06-17T12:35:27.924,6.29,3.95,159.04,8,2,1,1,1,0,0,2,1
190,2026-06-17T12:35:28.200,5.42,3.72,184.66,7,2,1,1,1,0,0,2,0
191,2026-06-17T12:35:28.502,4.67,3.23,214.21,8,2,1,1,1,0,0,2,1
192,2026-06-17T12:35:28.754,6.58,3.97,152.08,7,1,1,1,1,0,0,2,1
193,2026-06-17T12:35:29.039,4.88,3.54,204.98,7,1,1,1,1,0,0,2,1
194,2026-06-17T12:35:29.254,8.06,4.7,124.06,7,1,1,1,1,0,0,2,1
195,2026-06-17T12:35:29.476,7.26,4.41,137.79,7,1,1,1,1,0,0,2,1
196,2026-06-17T12:35:29.748,5.51,3.68,181.47,7,1,1,1,1,0,0,2,1
197,2026-06-17T12:35:30.014,5.81,3.74,172.06,8,1,1,1,1,0,0,3,1
198,2026-06-17T12:35:30.283,5.72,3.83,174.96,6,1,1,1,1,0,0,2,0
199,2026-06-17T12:35:30.585,4.96,3.24,201.41,8,2,1,1,1,0,0,2,1
200,2026-06-17T12:35:30.871,5.25,3.49,190.59,7,2,1,1,1,0,0,2,0
201,2026-06-17T12:35:31.156,5.0,3.54,200.1,6,1,1,1,1,0,0,2,0
202,2026-06-17T12:35:31.403,6.45,4.14,154.93,6,1,1,1,1,0,0,2,0
203,2026-06-17T12:35:31.669,5.62,3.74,177.83,7,2,1,1,1,0,0,2,0
204,2026-06-17T12:35:31.912,6.31,4.02,158.36,7,2,1,1,1,0,0,2,0
205,2026-06-17T12:35:32.152,6.74,4.23,148.35,7,2,1,1,1,0,0,2,0
206,2026-06-17T12:35:32.403,6.31,4.04,158.39,7,2,1,1,1,0,0,2,0
207,2026-06-17T12:35:32.700,4.77,3.36,209.67,7,2,1,1,1,0,0,2,0
208,2026-06-17T12:35:32.976,5.27,3.56,189.69,7,2,1,1,1,0,0,2,0
209,2026-06-17T12:35:33.288,4.49,3.2,222.53,7,1,1,1,1,0,0,2,1
210,2026-06-17T12:35:33.550,6.08,3.93,164.38,7,2,1,1,1,0,0,2,0
211,2026-06-17T12:35:33.875,4.07,3.0,245.59,7,2,1,1,1,0,0,2,0
212,2026-06-17T12:35:34.136,5.68,3.83,176.2,8,2,1,1,1,0,0,2,1
213,2026-06-17T12:35:34.431,4.91,3.43,203.64,7,2,1,1,1,0,0,2,0
214,2026-06-17T12:35:34.776,3.91,2.93,255.53,7,2,1,1,1,0,0,2,0
215,2026-06-17T12:35:35.003,6.89,4.34,145.22,7,2,1,1,1,0,0,2,0
216,2026-06-17T12:35:35.300,5.47,3.33,182.73,7,2,1,1,1,0,0,2,0
217,2026-06-17T12:35:35.567,5.43,3.76,184.04,8,2,1,1,1,0,0,2,1
218,2026-06-17T12:35:35.822,6.16,4.02,162.42,8,2,1,1,1,0,0,2,1
219,2026-06-17T12:35:36.097,5.34,3.56,187.41,8,2,1,1,1,0,0,2,1
220,2026-06-17T12:35:36.383,5.35,3.52,187.01,6,1,1,1,1,1,0,1,0
221,2026-06-17T12:35:36.677,5.08,3.36,196.85,5,1,1,1,1,0,0,1,0
222,2026-06-17T12:35:36.938,5.96,3.96,167.7,6,2,1,1,1,0,0,1,0
223,2026-06-17T12:35:37.213,5.54,3.59,180.62,5,1,1,1,1,0,0,1,0
