frame,iso_time,infer_fps,loop_fps,infer_ms,n_obj,bldc_motor,stm32f4,mpu6500,ir_sensor,elco_capacitor,resistor,pin_header,xt30_female
106,2026-06-17T12:38:16.470,3.68,2.88,271.51,9,1,1,1,1,1,0,3,1
107,2026-06-17T12:38:16.851,3.25,2.62,307.32,9,1,1,1,1,1,0,3,1
108,2026-06-17T12:38:17.224,3.44,2.72,290.57,9,1,1,1,1,1,0,3,1
109,2026-06-17T12:38:17.550,3.91,3.02,255.73,9,1,1,1,1,1,0,3,1
110,2026-06-17T12:38:17.909,3.51,2.78,285.27,9,1,1,1,1,1,0,3,1
111,2026-06-17T12:38:18.257,3.65,2.87,273.66,9,1,1,1,1,1,0,3,1
112,2026-06-17T12:38:18.602,3.78,2.94,264.74,9,1,1,1,1,1,0,3,1
113,2026-06-17T12:38:18.987,3.2,2.56,312.2,9,1,1,1,1,1,0,3,1
114,2026-06-17T12:38:19.328,3.74,2.94,267.21,9,1,1,1,1,1,0,3,1
115,2026-06-17T12:38:19.672,3.73,2.91,268.19,9,1,1,1,1,1,0,3,1
116,2026-06-17T12:38:20.023,3.76,2.91,266.04,9,1,1,1,1,1,0,3,1
117,2026-06-17T12:38:20.425,3.15,2.45,317.8,9,1,1,1,1,1,0,3,1
118,2026-06-17T12:38:20.787,3.49,2.75,286.55,9,1,1,1,1,1,0,3,1
119,2026-06-17T12:38:21.136,3.63,2.86,275.41,9,1,1,1,1,1,0,3,1
120,2026-06-17T12:38:21.546,3.04,2.47,329.32,9,1,1,1,1,1,0,3,1
121,2026-06-17T12:38:21.908,3.42,2.72,292.4,9,1,1,1,1,1,0,3,1
122,2026-06-17T12:38:22.258,3.66,2.86,273.25,9,1,1,1,1,1,0,3,1
123,2026-06-17T12:38:22.602,3.73,2.91,267.93,9,1,1,1,1,1,0,3,1
124,2026-06-17T12:38:22.920,4.19,3.19,238.38,9,1,1,1,1,1,0,3,1
125,2026-06-17T12:38:23.242,4.05,3.06,246.94,9,1,1,1,1,1,0,3,1
126,2026-06-17T12:38:23.568,3.95,3.07,253.02,9,1,1,1,1,1,0,3,1
127,2026-06-17T12:38:23.905,3.93,2.99,254.61,9,1,1,1,1,1,0,3,1
128,2026-06-17T12:38:24.294,3.34,2.59,299.3,9,1,1,1,1,1,0,3,1
129,2026-06-17T12:38:24.627,3.93,2.96,254.72,9,1,1,1,1,1,0,3,1
130,2026-06-17T12:38:24.974,3.72,2.88,268.84,9,1,1,1,1,1,0,3,1
131,2026-06-17T12:38:25.308,3.92,3.01,255.32,9,1,1,1,1,1,0,3,1
132,2026-06-17T12:38:25.663,3.73,2.85,268.42,9,1,1,1,1,1,0,3,1
133,2026-06-17T12:38:25.997,3.92,2.94,255.25,9,1,1,1,1,1,0,3,1
134,2026-06-17T12:38:26.356,3.7,2.78,270.2,9,1,1,1,1,1,0,3,1
135,2026-06-17T12:38:26.742,3.41,2.63,293.22,9,1,1,1,1,1,0,3,1
136,2026-06-17T12:38:27.098,3.64,2.76,274.66,9,1,1,1,1,1,0,3,1
137,2026-06-17T12:38:27.453,3.62,2.82,276.22,9,1,1,1,1,1,0,3,1
138,2026-06-17T12:38:27.803,3.7,2.86,269.98,7,1,1,1,1,1,0,1,1
139,2026-06-17T12:38:28.164,3.58,2.81,279.03,7,1,1,1,1,1,0,1,1
140,2026-06-17T12:38:28.496,3.88,2.96,257.84,9,1,1,1,1,1,0,3,1
141,2026-06-17T12:38:28.858,3.52,2.76,284.33,9,1,1,1,1,1,0,3,1
142,2026-06-17T12:38:29.201,3.81,2.93,262.81,9,1,1,1,1,1,0,3,1
143,2026-06-17T12:38:29.523,4.18,3.15,238.95,9,1,1,1,1,1,0,3,1
144,2026-06-17T12:38:29.867,3.88,2.86,257.83,9,1,1,1,1,1,0,3,1
145,2026-06-17T12:38:30.215,3.7,2.86,270.57,8,1,1,1,1,1,0,3,0
146,2026-06-17T12:38:30.541,4.04,3.08,247.65,7,1,1,1,1,1,0,2,0
147,2026-06-17T12:38:30.907,3.55,2.77,281.82,9,1,1,1,1,1,0,3,1
148,2026-06-17T12:38:31.242,3.92,2.94,255.13,9,1,1,1,1,1,0,3,1
149,2026-06-17T12:38:31.585,3.79,2.91,263.54,9,1,1,1,1,1,0,3,1
150,2026-06-17T12:38:31.953,3.53,2.71,283.5,9,1,1,1,1,1,0,3,1
151,2026-06-17T12:38:32.312,3.7,2.83,270.25,9,1,1,1,1,1,0,3,1
152,2026-06-17T12:38:32.637,4.14,3.04,241.51,9,1,1,1,1,1,0,3,1
153,2026-06-17T12:38:33.021,3.43,2.62,291.44,9,1,1,1,1,1,0,3,1
154,2026-06-17T12:38:33.386,3.65,2.71,273.73,6,1,1,1,1,1,0,1,0
155,2026-06-17T12:38:33.768,3.43,2.66,291.52,5,2,1,0,1,0,0,1,0
156,2026-06-17T12:38:34.129,3.59,2.72,278.54,3,1,1,0,1,0,0,0,0
157,2026-06-17T12:38:34.485,3.6,2.81,277.53,7,2,1,1,1,0,0,2,0
158,2026-06-17T12:38:34.850,3.65,2.78,273.61,6,2,1,1,1,0,0,1,0
159,2026-06-17T12:38:35.186,3.98,2.93,251.34,6,2,1,1,1,0,0,1,0
160,2026-06-17T12:38:35.558,3.46,2.69,289.12,5,2,1,1,1,0,0,0,0
161,2026-06-17T12:38:35.898,3.9,2.95,256.51,5,1,1,1,1,0,0,1,0
162,2026-06-17T12:38:36.268,3.66,2.74,273.3,4,1,1,1,1,0,0,0,0
163,2026-06-17T12:38:36.626,3.74,2.75,267.45,4,1,1,1,1,0,0,0,0
164,2026-06-17T12:38:36.990,3.59,2.74,278.38,4,1,1,1,1,0,0,0,0
165,2026-06-17T12:38:37.388,3.32,2.55,301.11,1,0,0,0,0,1,0,0,0
166,2026-06-17T12:38:37.768,3.42,2.6,292.46,3,1,0,0,0,1,0,1,0
167,2026-06-17T12:38:38.121,3.81,2.83,262.44,4,1,1,0,1,1,0,0,0
168,2026-06-17T12:38:38.488,3.67,2.74,272.52,8,1,1,1,1,1,0,3,0
169,2026-06-17T12:38:38.869,3.35,2.66,298.07,8,1,1,1,1,1,0,3,0
170,2026-06-17T12:38:39.226,3.73,2.76,268.17,8,1,1,1,1,1,0,3,0
171,2026-06-17T12:38:39.620,3.25,2.54,307.58,9,1,1,1,1,1,0,3,1
172,2026-06-17T12:38:40.043,2.94,2.36,340.01,9,1,1,1,1,1,0,3,1
173,2026-06-17T12:38:40.401,3.63,2.84,275.48,10,1,2,1,1,1,0,3,1
174,2026-06-17T12:38:40.786,3.43,2.56,291.56,9,1,1,1,1,1,0,3,1
175,2026-06-17T12:38:41.128,3.81,2.92,262.56,11,1,2,1,1,1,0,4,1
